,tweets,len,ID,Date,Source,Likes,RTs
3075,"India accords topmost importance to excellent relations with a time-tested partner like Uganda. 

My discussions wi… https://t.co/ohG7OdoleE",140,1.02178E+18,24-07-18 15:43,Twitter for iPhone,9366,2047
3076,Glimpses from the ceremonial welcome at @StateHouseUg in Entebbe. https://t.co/8T1zJlgg3A,89,1.02178E+18,24-07-18 15:38,Twitter for iPhone,10405,2005
3077,I thank the wonderful people of Rwanda for their warmth and affection. This visit adds tremendous strength to close… https://t.co/fCR96mCtrx,140,1.02169E+18,24-07-18 9:53,Twitter Web Client,22617,3828
3078,Furthering ties of trade and commerce...President @PaulKagame and I addressed leading CEOs from India and Rwanda. https://t.co/DGVcmPixIN,137,1.02169E+18,24-07-18 9:51,Twitter Web Client,7768,1682
3079,"The Girinka Programme is helping transform the lives of people across rural Rwanda. 

I also told President… https://t.co/eaYVr7aOEd",132,1.02169E+18,24-07-18 9:19,Twitter Web Client,7873,1933
3080,"Got a glimpse of rural life in Rwanda during the memorable visit to Rweru Model Village. 

I thank President… https://t.co/9LKlA65FEP",133,1.02168E+18,24-07-18 9:12,Twitter Web Client,8922,2231
3081,"Visited the Kigali Genocide Memorial. 

The path of peace and brotherhood embraced by Rwanda after the unfortunate… https://t.co/iHMxOq1iBT",139,1.02168E+18,24-07-18 9:09,Twitter Web Client,7123,1736
3082,"Wonderful interaction with the Indian diaspora in Rwanda. 

In every part of the part of the world, the Indian dias… https://t.co/lvEH1spQnG",140,1.02149E+18,23-07-18 20:14,Twitter Web Client,22110,4018
3083,The proposed opening of the Indian High Commission in Rwanda augurs well for our countries. The bond will deepen an… https://t.co/3IDJSFD3hz,140,1.02149E+18,23-07-18 20:12,Twitter Web Client,7029,1599
3084,"During our talks today, President @PaulKagame and I discussed new areas of India-Rwanda cooperation in sectors such… https://t.co/yWcjxPitqo",140,1.02149E+18,23-07-18 20:08,Twitter Web Client,7258,1684
3085,"Held productive discussions with President @PaulKagame. 

It is a matter of great joy that India and Rwanda are wor… https://t.co/qViP8XGSRc",140,1.02149E+18,23-07-18 20:05,Twitter Web Client,7644,1662
3086,"I would like to thank President @PaulKagame for personally welcoming me to the beautiful country of Rwanda. 

This… https://t.co/ult7JudwFD",139,1.02149E+18,23-07-18 20:03,Twitter Web Client,13995,2753
3087,"On his birth anniversary, my tributes to the great Chandra Shekhar Azad. A brave son of Bharat Mata, he sacrificed… https://t.co/isPFrSqPl0",139,1.02123E+18,23-07-18 3:08,Twitter Web Client,40153,7975
3088,I bow to Lokmanya Tilak on his Jayanti. He ignited the spark of patriotism among countless Indians. He successfully… https://t.co/BEpRBUp0DN,140,1.02123E+18,23-07-18 3:06,Twitter Web Client,23280,4917
3089,The blessings of 125 crore Indians give me great strength. All my time is for the nation. https://t.co/NRHuduHyuw,113,1.02087E+18,22-07-18 3:21,Twitter Web Client,12770,2674
3090,Point taken. :) https://t.co/xtFMxxO8M6,39,1.02087E+18,22-07-18 3:19,Twitter Web Client,16399,3150
3091,Very sad to hear about your grandfather. My condolences in this sad hour. https://t.co/g4vv85LVzm,97,1.02087E+18,22-07-18 3:18,Twitter Web Client,6157,1196
3092,Thank you for the kind words. https://t.co/xZFiIZ8GrR,53,1.02087E+18,22-07-18 3:16,Twitter Web Client,6124,1114
3093,Happy to read this. Please congratulate her on my behalf. Amazing to see such high levels of awareness and passion… https://t.co/weqx13X8vG,139,1.02087E+18,22-07-18 3:16,Twitter Web Client,8377,1815
3094,"Birthday greetings to Maharashtra's dynamic and energetic CM, Shri @Dev_Fadnavis. His hardwork and vigour have give… https://t.co/qgGtPgpJhH",140,1.02087E+18,22-07-18 3:14,Twitter Web Client,15325,2738
3095,Birthday wishes to my colleague Shri @AnanthKumar_BJP. He has been working towards reforming the chemicals and fert… https://t.co/jSF1oR4DHE,140,1.02087E+18,22-07-18 3:13,Twitter Web Client,8699,1587
3096,"People joined us in large numbers at the rally in Shahjahanpur. 
Spoke about the Government’s efforts in agricultur… https://t.co/SDjKGQyiCu",140,1.02066E+18,21-07-18 13:41,Twitter Web Client,10339,2453
3097,"उत्तर प्रदेश के शाहजहांपुर में आज विशाल किसान कल्याण रैली को संबोधित किया। 

शाहजहांपुर क्रांति की अलख जगाने वाले श… https://t.co/2SLl2c5y3y",140,1.02066E+18,21-07-18 13:35,Twitter Web Client,12784,2923
3098,"क्या मेरा यह गुनाह है कि मैं गरीबों के लिए काम कर रहा हूं? 

क्या मेरा गुनाह यह है कि मैं भ्रष्टाचार और परिवारवाद… https://t.co/yQmnwpLZsS",138,1.02066E+18,21-07-18 13:34,Twitter Media Studio,36340,8246
3099,गन्ना किसानों के हित में सरकार ने एक और बड़ा फैसला लिया है और चार वर्षों में इस फैसले के कारण बहुत प्रगति भी हुई है। https://t.co/cQON6pGyOw,140,1.02066E+18,21-07-18 13:34,Twitter Media Studio,12747,2720
3100,पश्चिमी यूपी और गन्ना किसानों का गहरा नाता है। गन्ना किसानों के आशीर्वाद से सरकार ने फैसला किया कि गन्ने पर लागत मू… https://t.co/SljEY6vXal,140,1.02066E+18,21-07-18 13:33,Twitter Media Studio,8750,2150
3101,"Today is a special day for India-Sri Lanka friendship. 

Via technology, I joined the programme marking the expansi… https://t.co/PtYdAYqGZ2",140,1.02066E+18,21-07-18 13:31,Twitter Web Client,7858,1904
3102,I always enjoy being with our farmers. It is due to their hardwork that India has achieved so much. Going to Shahja… https://t.co/8NJOPeA4dS,140,1.02053E+18,21-07-18 4:54,Twitter for Android,20220,3942
3103,"The fight against corruption and black money will continue. Due to this, I know that many vested interests, who hav… https://t.co/3HgFWxCmt3",140,1.02052E+18,21-07-18 4:05,Twitter Media Studio,16216,4481
3104,"Congress leaders feel I cant see them in the eye. They are correct. I am too small compared to them. 
How did 1 fam… https://t.co/puG3iJasPG",140,1.02052E+18,21-07-18 4:04,Twitter Media Studio,43372,11685
3105,"Before net banking was popular, there was 'phone banking' invented by the Congress.

One phone call and those favou… https://t.co/D0ikpk7khp",140,1.02052E+18,21-07-18 4:03,Twitter Media Studio,11820,3751
3106,"I appeal to the Congress to stop calling the Surgical Strikes as ‘Jumla Strikes.’ 

They can continue abusing me, m… https://t.co/ZM9cwSyKa2",140,1.02052E+18,21-07-18 4:02,Twitter Media Studio,25636,7076
3107,I assure my sisters and brothers of Andhra Pradesh that the NDA Government will always work for their welfare and t… https://t.co/kYhmz1tvjZ,140,1.02052E+18,21-07-18 4:01,Twitter Media Studio,11778,3173
3108,"The NDA has the support of more than 2/3rd members of the Lok Sabha. 

Yesterday the nation saw yet again how the C… https://t.co/uPV3qBmG7M",140,1.02052E+18,21-07-18 4:00,Twitter Media Studio,13396,3984
3109,"NDA has the confidence of the Lok Sabha and the 125 crore people of India. 

I thank all the parties that have supp… https://t.co/LClVLVpDrC",140,1.02037E+18,20-07-18 18:02,Twitter for iPhone,53793,14852
3110,Speaking in the Lok Sabha. Watch. https://t.co/KejEdESqGx,57,1.02033E+18,20-07-18 15:48,Periscope,21718,7174
3111,Today is an important day in our Parliamentary democracy. I am sure my fellow MP colleagues will rise to the occasi… https://t.co/arei2Ys5S4,140,1.02013E+18,20-07-18 2:06,Twitter for iPhone,56661,12986
3112,"For people in Jharkhand, with Urja Shakti came Jal Shakti. 

Citizens in Odisha narrated how electrified villages m… https://t.co/LzXvaddxMk",140,1.01997E+18,19-07-18 15:34,Twitter Media Studio,8297,1975
3113,"For Indira Basumatary Ji from Assam, village electrification meant travelling long distances for small errands is h… https://t.co/LcbLWJ5iTa",140,1.01997E+18,19-07-18 15:33,Twitter Media Studio,7890,1858
3114,"Substantial number of villages without electricity were in the Northeast. This changed in the last four years. 

Pe… https://t.co/n77cznvFmm",140,1.01997E+18,19-07-18 15:32,Twitter Media Studio,8477,1995
3115,No more walking long distances to get kerosene and more hours to study…here is how life changed for young Aarti Sha… https://t.co/vB3Jt3PHIp,140,1.01997E+18,19-07-18 15:31,Twitter Media Studio,9134,2097
3116,"For people living in a village near Jaisalmer, the arrival of electricity brought with it many positives, one of th… https://t.co/qHLWp8wLzI",140,1.01997E+18,19-07-18 15:29,Twitter Media Studio,8258,1959
3117,A village in Tehri Garhwal was electrified around Diwali. The coming of electricity created numerous opportunities… https://t.co/HiTIDvPfVe,139,1.01997E+18,19-07-18 15:28,Twitter Media Studio,6465,1648
3118,Here is the video of this morning's interaction with people who belong to villages that have been electrified in th… https://t.co/43jevZWeOa,140,1.01997E+18,19-07-18 15:26,Twitter Web Client,7915,2107
3119,"Saddened by the demise of noted poet and lyricist Shri Gopaldas ‘Neeraj.’ 

Shri Neeraj's unique style connected hi… https://t.co/lWdBvk48Ek",140,1.01997E+18,19-07-18 15:23,Twitter Web Client,14619,2999
3120,The interaction with people from villages across India that have been electrified in the last four years begins in… https://t.co/SXR5rFPEms,139,1.01979E+18,19-07-18 3:29,Twitter for iPhone,18227,3530
3121,Thank you Sakshi for this wonderful letter. I am glad that #ExamWarriors helped you during your exam preparations.… https://t.co/6w3Ho275RE,139,1.01941E+18,18-07-18 2:33,Twitter for iPhone,23103,4587
3122,"Wonderful interaction with our valued NDA allies. 

The NDA family in united in our pursuit of development and good… https://t.co/phMSYRqOXX",140,1.01924E+18,17-07-18 14:59,Twitter Web Client,11347,2559
3123,Met BJP leaders in Parliament. https://t.co/54c85liwcz,54,1.01923E+18,17-07-18 14:58,Twitter Web Client,11957,2263
3124,Some pictures from the all-party meeting held in Parliament earlier today. https://t.co/dZI2SJRzsX,98,1.01923E+18,17-07-18 14:56,Twitter Web Client,11053,2259
